title,release_year,age_certification,runtime,language,genres,production_countries,seasons,imdb_score,imdb_votes
Sky Rojo,2021,TV-MA,27,Spanish,"['action', 'crime', 'drama', 'thriller']",['ES'],3.0,6.5,8569.0
Johnny Hallyday: Beyond Rock,2022,TV-14,35,N/A,"['documentation', 'music']",['US'],1.0,7.0,94.0
Chicago Party Aunt,2021,TV-MA,23,English,"['comedy', 'animation']",['US'],1.0,5.3,1383.0
Money Heist: From Tokyo to Berlin,2021,TV-MA,53,Spanish,"['documentation', 'crime', 'drama']",['ES'],2.0,7.7,836.0
Queer Eye Germany,2022,TV-14,50,German,['reality'],['DE'],1.0,7.5,788.0
Naomi Osaka,2021,TV-14,37,English,"['documentation', 'sport']",['US'],1.0,6.2,1287.0
Sexify,2021,TV-MA,44,"Polish, English","['drama', 'comedy']",['PL'],1.0,6.5,4907.0
JAPAN SINKS: People of Hope,2021,TV-14,54,Japanese,"['scifi', 'war', 'drama']",['JP'],1.0,6.7,404.0
Invisible City,2021,TV-MA,36,Portuguese,"['drama', 'fantasy', 'thriller', 'crime']",['BR'],2.0,7.7,18.0
The Time It Takes,2021,TV-MA,13,Spanish,"['drama', 'romance', 'comedy']",['ES'],1.0,7.1,1183.0
Too Hot to Handle: Brazil,2021,TV-MA,56,Portuguese,"['reality', 'romance']",['BR'],1.0,5.4,443.0
That Girl Lay Lay,2021,TV-G,23,English,['comedy'],['US'],2.0,3.4,232.0
Alessandro Cattelan: One Simple Question,2022,TV-MA,30,Italian,"['comedy', 'reality']",['IT'],1.0,6.5,157.0
Sexy Beasts,2021,TV-14,23,English,"['reality', 'romance']",[],2.0,4.6,1105.0
Worn Stories,2021,TV-MA,30,English,['documentation'],['US'],1.0,6.6,311.0
Everything Will Be Fine,2021,TV-MA,32,Spanish,"['comedy', 'drama']",['MX'],1.0,6.2,335.0
Fishbowl Wives,2022,TV-MA,43,Japanese,"['drama', 'romance']",['JP'],1.0,6.1,704.0
Soil,2021,TV-MA,48,"Arabic, Dutch","['comedy', 'drama']",['BE'],1.0,7.2,478.0
Eternally Confused and Eager for Love,2022,TV-MA,23,N/A,"['comedy', 'romance']",['IN'],1.0,6.7,1302.0
Blown Away: Christmas,2021,TV-PG,29,English,['reality'],[],1.0,6.7,466.0
"Love, Life & Everything in Between",2022,TV-14,27,Arabic,"['drama', 'comedy', 'romance']",['SA'],1.0,5.3,65.0
Daughter from Another Mother,2021,TV-MA,38,Spanish,"['romance', 'fantasy', 'comedy', 'drama']",['MX'],2.0,7.2,1766.0
John of God: The Crimes of a Spiritual Healer,2021,TV-MA,50,Portuguese,"['crime', 'documentation']",['BR'],1.0,6.5,777.0
Insiders,2021,TV-MA,48,Spanish,['reality'],['ES'],2.0,4.2,609.0
Too Hot to Handle: Latino,2021,TV-14,36,Spanish,"['reality', 'romance']",['MX'],1.0,5.2,260.0
Pedal to Metal,2022,TV-MA,38,Spanish,"['action', 'crime', 'thriller', 'drama']",['MX'],1.0,7.5,51.0
Midnight Asia: Eat · Dance · Dream,2022,TV-MA,37,English,['documentation'],['SG'],1.0,6.6,474.0
Dad Stop Embarrassing Me!,2021,TV-14,25,English,"['comedy', 'family']",['US'],1.0,4.1,1853.0
Mine,2021,TV-14,69,Korean,['drama'],['KR'],1.0,7.8,1101.0
Sharkdog,2021,TV-Y,0,English,"['comedy', 'family', 'animation']","['SG', 'US']",1.0,6.2,136.0
Cat People,2021,TV-14,32,English,['documentation'],['US'],1.0,6.3,266.0
Love Is Blind: Brazil,2021,TV-MA,56,Portuguese,"['romance', 'reality']",['BR'],1.0,6.1,425.0
Tattoo Redo,2021,TV-MA,30,English,['reality'],['US'],1.0,5.8,680.0
Bake Squad,2021,TV-PG,38,English,['reality'],['US'],1.0,6.9,651.0
Country Comfort,2021,TV-PG,24,English,"['drama', 'comedy', 'action', 'family', 'music']",['US'],1.0,6.9,3301.0
Secrets of Summer,2022,TV-Y,30,Spanish,"['drama', 'family', 'music']",['ES'],1.0,5.9,110.0
Adventure Beast,2021,TV-MA,19,English,"['comedy', 'animation']",['US'],1.0,5.2,496.0
Transformers: BotBots,2022,TV-Y,25,English,"['animation', 'action', 'comedy', 'family', 'fantasy', 'scifi']",['US'],1.0,6.8,68.0
Zero,2021,TV-MA,24,Italian,"['scifi', 'action', 'comedy', 'drama', 'fantasy']",['IT'],1.0,5.6,1270.0
Headspace Guide to Sleep,2021,TV-G,19,English,"['animation', 'documentation']",['US'],1.0,6.8,445.0
Dealer,2021,TV-MA,32,French,"['action', 'drama', 'crime', 'thriller']",['FR'],1.0,6.1,659.0
A Tale Dark & Grimm,2021,TV-Y7,31,English,"['comedy', 'family', 'fantasy', 'animation', 'action']","['ES', 'US']",1.0,7.3,1193.0
Ray,2021,TV-MA,59,"Hindi, English","['drama', 'thriller', 'crime']",['IN'],1.0,7.2,8668.0
Your Life is a Joke,2021,TV-MA,37,German,"['comedy', 'documentation']",['DE'],1.0,5.5,83.0
Hype House,2022,TV-MA,32,English,['reality'],['US'],1.0,2.3,2860.0
Ridley Jones,2021,TV-Y,28,English,"['animation', 'comedy', 'family', 'fantasy']",['US'],3.0,4.7,223.0
Myth and Mogul: John DeLorean,2021,TV-14,44,English,"['documentation', 'crime']",['US'],1.0,6.8,1009.0
Cooking With Paris,2021,TV-MA,23,English,['reality'],['US'],1.0,5.2,1055.0
Dogs in Space,2021,TV-Y7,22,English,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",['US'],1.0,7.2,560.0
Human: The World Within,2021,TV-PG,52,N/A,['documentation'],['US'],1.0,6.8,697.0
Taarak Mehta Kka Chhota Chashmah,2021,TV-Y,22,Hindi,"['animation', 'comedy']",['IN'],1.0,6.8,74.0
"Vendetta: Truth, Lies and The Mafia",2021,TV-MA,39,"English, Italian","['documentation', 'crime', 'thriller']",[],1.0,6.7,232.0
Crime Stories: India Detectives,2021,TV-MA,52,Kannada,"['documentation', 'crime']",['IN'],1.0,7.2,934.0
The World's Most Amazing Vacation Rentals,2021,TV-PG,35,English,['reality'],['US'],2.0,6.7,1278.0
The Hungry and the Hairy,2021,TV-14,63,Korean,['reality'],['KR'],1.0,7.5,218.0
Somos.,2021,TV-MA,47,Spanish,"['drama', 'history', 'crime']",['MX'],1.0,7.1,1108.0
Racket Boys,2021,TV-14,70,Korean,"['comedy', 'family', 'drama', 'sport']",['KR'],1.0,1.8,27484.0
Decoupled,2021,TV-MA,30,"English, Hindi","['comedy', 'drama']",['IN'],1.0,8.0,6379.0
Rebelde,2022,TV-MA,39,Spanish,"['drama', 'comedy', 'music', 'romance', 'family']",['MX'],2.0,6.2,2122.0
Karma's World,2021,TV-Y,11,"English, Spanish","['animation', 'comedy', 'family']",['US'],2.0,6.2,134.0
"Fresh, Fried & Crispy",2021,TV-PG,25,English,"['documentation', 'reality']",['US'],1.0,6.2,603.0
Remember You,2021,TV-MA,67,Thai,"['action', 'crime', 'drama', 'romance']",['TH'],1.0,7.4,65.0
The Fastest,2021,TV-PG,35,N/A,['reality'],[],1.0,5.7,76.0
Scaredy Cats,2021,TV-G,26,English,"['scifi', 'family', 'fantasy', 'comedy']",['US'],1.0,6.2,338.0
We the People,2021,TV-Y7,5,English,"['family', 'music', 'animation', 'comedy']",['US'],1.0,3.4,674.0
My Love: Six Stories of True Love,2021,TV-PG,70,"Portuguese, Japanese, English, Marathi, Spanish","['reality', 'romance', 'documentation']",['US'],1.0,7.5,281.0
The War Next-door,2021,TV-MA,32,Spanish,['comedy'],['MX'],1.0,5.6,373.0
Marriage or Mortgage,2021,TV-G,40,English,['reality'],['US'],1.0,5.1,433.0
The Future Diary,2021,TV-PG,33,Japanese,"['reality', 'romance']",['JP'],2.0,7.9,97.0
Race: Bubba Wallace,2022,TV-MA,47,English,"['documentation', 'sport']",['US'],1.0,5.9,402.0
The Wedding Coach,2021,TV-MA,32,English,"['comedy', 'reality']",['US'],1.0,4.9,85.0
Haunted: Latin America,2021,TV-14,33,Spanish,"['reality', 'horror']","['FR', 'IT']",1.0,5.3,572.0
Pet Stars,2021,TV-PG,27,English,"['reality', 'family']",['US'],1.0,4.9,117.0
Dive Club,2021,TV-PG,0,English,"['drama', 'family']",['AU'],1.0,6.2,789.0
Elize Matsunaga: Once Upon a Crime,2021,TV-MA,49,Portuguese,"['crime', 'documentation']",['BR'],1.0,5.9,2088.0
"Nevenka, Breaking The Silence",2021,TV-14,38,Spanish,"['documentation', 'crime']",['ES'],1.0,6.9,658.0
Hei$t: The Great Robbery of Brazil's Central Bank,2022,TV-14,61,Portuguese,"['documentation', 'crime']",['BR'],1.0,6.3,193.0
The New Adventures of Oggy,2021,TV-Y,15,None,"['comedy', 'family', 'action', 'animation']",['US'],1.0,6.6,38.0
Alma Matters: Inside the IIT Dream,2021,TV-MA,51,"English, Hindi","['drama', 'documentation']",['IN'],1.0,8.3,2323.0
