title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,Language
Hei$t: The Great Robbery of Brazil's Central Bank,SHOW,2022,TV-14,61,"['documentation', 'crime']",['BR'],1.0,tt18274172,6.3,193.0,Portuguese
The New Adventures of Oggy,SHOW,2021,TV-Y,15,"['comedy', 'family', 'action', 'animation']",['US'],1.0,tt11194006,6.6,38.0,None
Alma Matters: Inside the IIT Dream,SHOW,2021,TV-MA,51,"['drama', 'documentation']",['IN'],1.0,tt14512938,8.3,2323.0,"English, Hindi"
Jiva!,SHOW,2021,TV-MA,38,['drama'],['ZA'],1.0,tt12564616,5.5,263.0,English
I Heart Arlo,SHOW,2021,TV-Y7,15,"['comedy', 'family', 'animation']",['US'],1.0,tt13573450,7.0,204.0,English
Canine Intervention,SHOW,2021,TV-14,35,"['documentation', 'reality']",['US'],1.0,tt13932598,6.5,886.0,English
Reasonable Doubt: A Tale of Two Kidnappings,SHOW,2021,TV-MA,47,"['crime', 'documentation']",['MX'],1.0,tt15796900,7.6,179.0,Spanish
Under Suspicion: Uncovering the Wesphael Case,SHOW,2021,TV-14,36,"['crime', 'documentation']",[],1.0,tt14078186,6.3,727.0,"French, English"
Metal Shop Masters,SHOW,2021,TV-MA,0,['reality'],['US'],1.0,tt15216520,5.6,546.0,English
Titletown High,SHOW,2021,TV-14,34,"['reality', 'sport']",['US'],1.0,tt15192032,5.4,318.0,English
Magic for Humans Spain,SHOW,2021,TV-MA,23,"['reality', 'comedy']",['ES'],1.0,tt14136320,6.0,77.0,Spanish
Let's Fight Ghost,SHOW,2021,TV-14,65,"['drama', 'action', 'fantasy', 'horror', 'romance']",['TH'],1.0,tt14168868,7.5,98.0,Thai
The Snitch Cartel: Origins,SHOW,2021,TV-MA,48,"['crime', 'drama']",[],1.0,tt14417802,5.6,182.0,Spanish
How to Be A Cowboy,SHOW,2021,TV-PG,25,['reality'],['US'],1.0,tt13438900,6.8,145.0,English
Stories of a Generation - with Pope Francis,SHOW,2021,TV-14,46,['documentation'],['IT'],1.0,tt13784364,7.4,202.0,English
